iter	Passed	Remaining
542	19700	16580
543	19740	16546
544	19773	16508
545	19804	16467
546	19839	16430
547	19863	16383
548	19896	16344
549	19914	16293
550	19946	16253
551	19979	16215
552	19997	16164
553	20029	16125
554	20064	16087
555	20097	16049
556	20131	16011
557	20162	15971
558	20194	15931
559	20226	15892
560	20261	15855
561	20297	15819
562	20333	15783
563	20369	15746
564	20403	15709
565	20439	15672
566	20473	15635
567	20508	15597
568	20542	15560
569	20573	15520
570	20605	15481
571	20637	15442
572	20670	15403
573	20708	15368
574	20740	15329
575	20773	15291
576	20807	15253
577	20846	15220
578	20880	15182
579	20914	15145
580	20946	15106
581	20978	15067
582	21010	15027
583	21041	14988
584	21072	14948
585	21104	14910
586	21141	14874
587	21173	14835
588	21205	14796
589	21236	14757
590	21268	14719
591	21302	14681
592	21340	14647
593	21373	14608
594	21403	14569
595	21435	14530
596	21459	14486
597	21497	14451
598	21535	14416
599	21567	14378
600	21598	14339
601	21630	14300
602	21663	14262
603	21696	14224
604	21720	14180
605	21754	14143
606	21791	14108
607	21834	14077
608	21878	14046
609	21913	14010
610	21945	13971
611	21976	13932
612	22000	13889
613	22036	13853
614	22081	13823
615	22126	13792
616	22172	13763
617	22220	13735
618	22267	13706
619	22312	13675
620	22356	13644
621	22400	13613
622	22449	13584
623	22495	13555
624	22541	13524
625	22584	13492
626	22630	13462
627	22675	13431
628	22723	13402
629	22768	13372
630	22813	13341
631	22859	13310
632	22913	13284
633	22967	13258
634	23017	13230
635	23062	13199
636	23112	13170
637	23157	13139
638	23201	13107
639	23245	13075
640	23290	13044
641	23336	13013
642	23380	12981
643	23424	12948
644	23468	12916
645	23513	12885
646	23558	12853
647	23604	12822
648	23648	12789
649	23695	12759
650	23742	12728
651	23784	12695
652	23829	12662
653	23874	12630
654	23918	12598
655	23962	12565
656	24005	12532
657	24049	12499
658	24092	12466
659	24135	12433
660	24180	12401
661	24225	12368
662	24276	12339
663	24321	12307
664	24365	12274
665	24409	12241
666	24456	12209
667	24499	12176
668	24543	12143
669	24582	12107
670	24614	12068
671	24646	12029
672	24677	11990
673	24709	11951
674	24740	11912
675	24776	11875
676	24808	11836
677	24844	11799
678	24888	11766
679	24932	11732
680	24975	11699
681	25016	11664
682	25039	11621
683	25071	11582
684	25103	11544
685	25137	11506
686	25183	11473
687	25226	11439
688	25271	11406
689	25314	11373
690	25359	11340
691	25405	11307
692	25442	11271
693	25476	11233
694	25508	11194
695	25539	11155
696	25571	11116
697	25603	11077
698	25635	11039
699	25667	11000
700	25699	10961
701	25732	10923
702	25771	10887
703	25802	10848
704	25834	10810
705	25867	10771
706	25899	10733
707	25930	10694
708	25961	10655
709	25993	10617
710	26025	10578
711	26057	10539
712	26091	10502
713	26135	10468
714	26169	10431
715	26201	10392
716	26234	10354
717	26278	10321
718	26312	10283
719	26345	10245
720	26384	10209
721	26415	10171
722	26448	10133
723	26481	10095
724	26513	10056
725	26546	10018
726	26585	9983
727	26622	9946
728	26662	9911
729	26695	9873
730	26726	9835
731	26760	9797
732	26798	9761
733	26830	9723
734	26863	9685
735	26902	9649
736	26934	9611
737	26970	9575
738	27016	9541
739	27058	9507
740	27103	9473
741	27147	9439
742	27191	9405
743	27235	9371
744	27269	9333
745	27313	9299
746	27359	9266
747	27403	9232
748	27446	9197
749	27491	9163
750	27534	9129
751	27566	9090
752	27603	9054
753	27634	9015
754	27657	8975
755	27690	8937
756	27722	8899
757	27753	8860
758	27785	8822
759	27817	8784
760	27850	8746
761	27883	8709
762	27916	8671
763	27951	8634
764	27997	8600
765	28042	8566
766	28089	8532
767	28133	8498
768	28176	8464
769	28220	8429
770	28266	8395
771	28309	8360
772	28355	8326
773	28399	8292
774	28443	8257
775	28487	8223
776	28531	8188
777	28576	8154
778	28624	8120
779	28668	8085
780	28714	8051
781	28763	8018
782	28808	7983
783	28846	7947
784	28890	7912
785	28936	7878
786	28981	7843
787	29026	7809
788	29074	7775
789	29119	7740
790	29147	7701
791	29194	7667
792	29229	7629
793	29265	7592
794	29309	7557
795	29352	7522
796	29396	7487
797	29440	7452
798	29486	7417
799	29530	7382
800	29574	7347
801	29619	7312
802	29664	7277
803	29697	7239
804	29742	7204
805	29787	7169
806	29832	7134
807	29878	7099
808	29923	7064
809	29969	7029
810	30013	6994
811	30057	6959
812	30102	6924
813	30136	6886
814	30169	6848
815	30200	6809
816	30233	6771
817	30266	6734
818	30301	6696
819	30345	6661
820	30382	6624
821	30414	6586
822	30446	6548
823	30475	6509
824	30524	6474
825	30584	6442
826	30638	6409
827	30678	6372
828	30722	6337
829	30754	6299
830	30787	6261
831	30822	6223
832	30855	6185
833	30878	6146
834	30917	6109
835	30961	6073
836	31006	6038
837	31051	6002
838	31095	5967
839	31139	5931
840	31184	5895
841	31228	5859
842	31272	5824
843	31315	5788
844	31359	5752
845	31404	5716
846	31448	5680
847	31486	5643
848	31519	5605
849	31558	5569
850	31589	5530
851	31623	5493
852	31655	5455
853	31690	5417
854	31735	5382
855	31771	5344
856	31802	5306
857	31834	5268
858	31865	5230
859	31904	5193
860	31946	5157
861	31995	5122
862	32040	5086
863	32089	5051
864	32136	5015
865	32163	4976
866	32207	4940
867	32251	4904
868	32296	4868
869	32340	4832
870	32384	4796
871	32429	4760
872	32464	4722
873	32503	4685
874	32534	4647
875	32566	4609
876	32597	4571
877	32631	4534
878	32668	4497
879	32701	4459
880	32739	4422
881	32783	4385
882	32830	4350
883	32874	4313
884	32920	4277
885	32966	4241
886	33011	4205
887	33056	4169
888	33102	4133
889	33148	4097
890	33194	4060
891	33239	4024
892	33285	3988
893	33329	3951
894	33373	3915
895	33418	3878
896	33463	3842
897	33507	3806
898	33552	3769
899	33598	3733
900	33643	3696
901	33684	3659
902	33717	3621
903	33756	3584
904	33799	3548
905	33835	3510
906	33871	3473
907	33915	3436
908	33961	3399
909	34009	3363
910	34044	3326
911	34091	3289
912	34137	3252
913	34180	3216
914	34213	3178
915	34250	3140
916	34284	3103
917	34328	3066
918	34371	3029
919	34415	2992
920	34460	2955
921	34504	2919
922	34550	2882
923	34596	2845
924	34641	2808
925	34687	2772
926	34732	2735
927	34778	2698
928	34822	2661
929	34868	2624
930	34913	2587
931	34950	2550
932	34994	2513
933	35038	2475
934	35083	2438
935	35129	2401
936	35173	2364
937	35217	2327
938	35266	2291
939	35334	2255
940	35364	2217
941	35411	2180
942	35456	2143
943	35500	2105
944	35545	2068
945	35589	2031
946	35633	1994
947	35677	1956
948	35721	1919
949	35770	1882
950	35814	1845
951	35846	1807
952	35870	1769
953	35902	1731
954	35933	1693
955	35964	1655
956	35999	1617
957	36031	1579
958	36063	1541
959	36095	1503
960	36129	1466
961	36166	1428
962	36207	1391
963	36238	1353
964	36270	1315
965	36303	1277
966	36339	1240
967	36385	1202
968	36431	1165
969	36473	1128
970	36504	1090
971	36539	1052
972	36579	1015
973	36611	977
974	36645	939
975	36680	901
976	36712	864
977	36745	826
978	36785	789
979	36831	751
980	36876	714
981	36921	676
982	36964	639
983	37008	601
984	37052	564
985	37096	526
986	37140	489
987	37183	451
988	37218	413
989	37263	376
990	37309	338
991	37354	301
992	37389	263
993	37435	225
994	37480	188
995	37525	150
996	37571	113
997	37617	75
998	37664	37
999	37710	0
